GAME_ID,GAME_DATE,SEASON,HOME_TEAM,AWAY_TEAM,DIFF_OFF_RATING,DIFF_DEF_RATING,DIFF_NET_RATING,DIFF_PACE,DIFF_W_PCT,DIFF_FG_PCT,DIFF_FG3_PCT,DIFF_FT_PCT,DIFF_REB,DIFF_AST,DIFF_TOV,HOME_ROLL10_WIN_PCT,AWAY_ROLL10_WIN_PCT,DIFF_ROLL10_WIN_PCT,HOME_ROLL10_PM,AWAY_ROLL10_PM,DIFF_ROLL10_PM,HOME_REST,AWAY_REST,DIFF_REST,HOME_B2B,AWAY_B2B,H2H_HOME_WIN_PCT,HOME_TEAM_WIN,POINT_MARGIN,HOME_STAR_AVAIL,AWAY_STAR_AVAIL,DIFF_STAR_AVAIL,HOME_TRAVEL,AWAY_TRAVEL,DIFF_TRAVEL,HOME_SOS,AWAY_SOS,DIFF_SOS
22200008,2022-10-19,2022-23,TOR,CLE,-0.9000000000000057,3.1999999999999886,-4.1,1.5799999999999983,-0.122,-0.0289999999999999,-0.0319999999999999,0.004,1.8999999999999984,-1.0,-1.6000000000000014,0.5,0.5,0.0,0.0,0.0,0.0,7,7,0,0,0,0.5,1,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200015,2022-10-20,2022-23,PHI,MIL,2.700000000000003,1.7999999999999972,1.0000000000000004,-4.010000000000005,-0.0479999999999999,0.014,0.019,0.0919999999999999,-7.700000000000003,-0.6000000000000014,-0.9000000000000004,0.0,0.5,-0.5,-9.0,0.0,-9.0,2,7,-5,0,0,0.5,0,-2,1.0,1.0,0.0,273.35064456625105,0.0,273.35064456625105,6.7,0.0,6.7
22200016,2022-10-20,2022-23,LAL,LAC,-0.0999999999999943,-0.3999999999999915,0.1999999999999999,3.0799999999999983,-0.013,0.005,-0.035,-0.006,2.5,1.400000000000002,-0.0999999999999996,0.0,0.5,-0.5,-14.0,0.0,-14.0,2,7,-5,0,0,0.5,0,-6,1.0,1.0,0.0,345.4880264292539,0.0,345.4880264292539,1.7,0.0,1.7
22200022,2022-10-21,2022-23,MIA,BOS,-5.0,2.200000000000003,-7.2,-2.390000000000001,-0.1579999999999999,-0.0149999999999999,-0.033,0.0189999999999999,-4.699999999999996,-2.8999999999999986,0.0999999999999996,0.0,1.0,-1.0,-8.0,9.0,-17.0,2,3,-1,0,0,0.5,0,-7,1.0,1.0,0.0,0.0,1257.4263417742195,-1257.4263417742195,1.3,4.4,-3.1000000000000005
22200019,2022-10-21,2022-23,WAS,CHI,0.9000000000000057,3.4000000000000057,-2.5,-0.0200000000000102,-0.061,-0.005,-0.005,-0.024,1.2000000000000028,0.8999999999999986,0.6999999999999993,1.0,1.0,0.0,7.0,8.0,-1.0,2,2,0,0,0,0.5,1,2,1.0,1.0,0.0,491.6221964492408,924.7617735472493,-433.1395770980085,-3.3,-0.5,-2.8
22200027,2022-10-21,2022-23,POR,PHX,-0.5,5.700000000000003,-6.2,0.4200000000000017,-0.147,0.0069999999999999,-0.009,0.003,-3.700000000000003,-3.1000000000000014,1.0,1.0,1.0,0.0,7.0,2.0,5.0,2,2,0,0,0,0.5,1,2,1.0,1.0,0.0,484.00256191629126,1006.2687376865574,-522.2661757702662,2.6,-0.2,2.8000000000000003
22200018,2022-10-21,2022-23,IND,SAS,4.099999999999994,-2.5,6.6000000000000005,-0.3899999999999863,0.1589999999999999,0.0039999999999999,0.022,0.047,-2.200000000000003,-0.1999999999999993,-0.4000000000000003,0.0,0.0,0.0,-7.0,-27.0,20.0,2,2,0,0,0,0.5,0,-3,1.0,1.0,0.0,0.0,997.1378046886149,-997.1378046886149,-1.2,-6.3,5.1
22200023,2022-10-21,2022-23,NYK,DET,7.099999999999994,-3.5999999999999943,10.7,-2.1299999999999955,0.366,0.0159999999999999,0.003,-0.01,4.200000000000003,-0.1000000000000014,-2.1,0.0,1.0,-1.0,-3.0,4.0,-7.0,2,2,0,0,0,0.5,1,24,1.0,1.0,0.0,955.1061712857511,481.0622515765766,474.0439197091745,4.0,-2.3,6.3
22200017,2022-10-21,2022-23,CHA,NOP,-5.399999999999992,2.700000000000003,-8.2,1.8900000000000008,-0.183,-0.0229999999999999,-0.0339999999999999,-0.044,0.7999999999999972,-0.7999999999999972,-0.4000000000000003,1.0,1.0,0.0,27.0,22.0,5.0,2,2,0,0,0,0.5,0,-12,1.0,1.0,0.0,1100.843068445571,530.7209577964312,570.1221106491397,-9.9,1.1,-11.0
22200024,2022-10-21,2022-23,HOU,MEM,-4.200000000000003,7.899999999999991,-12.1,-1.7600000000000051,-0.354,-0.0179999999999999,-0.0239999999999999,0.021,-0.3000000000000042,-3.6000000000000014,2.6,0.0,1.0,-1.0,-10.0,3.0,-13.0,2,2,0,0,0,0.5,0,-7,1.0,1.0,0.0,700.705121765036,484.0540757523185,216.65104601271747,0.1,2.8,-2.6999999999999997
22200025,2022-10-21,2022-23,MIN,UTA,-2.0,-2.9000000000000057,0.8999999999999999,0.5300000000000011,0.061,0.017,0.012,-0.031,-4.0,0.1999999999999993,-0.0999999999999996,1.0,1.0,0.0,7.0,21.0,-14.0,2,2,0,0,0,0.5,0,-6,1.0,1.0,0.0,0.0,984.3779476544498,-984.3779476544498,1.0,3.3,-2.3
22200026,2022-10-21,2022-23,GSW,DEN,-1.7000000000000028,-0.0999999999999943,-1.6,3.8000000000000114,-0.1089999999999999,-0.025,0.006,0.043,1.6000000000000014,0.9000000000000021,1.8000000000000007,1.0,0.0,1.0,14.0,-21.0,35.0,3,2,1,0,0,0.5,0,-5,1.0,1.0,0.0,0.0,597.5543577772543,-597.5543577772543,0.7,-0.7,1.4
22200021,2022-10-21,2022-23,BKN,TOR,0.0,0.4000000000000057,-0.3999999999999999,0.9200000000000016,0.049,0.0279999999999999,0.0429999999999999,0.016,-2.5,1.6000000000000014,2.0,0.0,1.0,-1.0,-22.0,3.0,-25.0,2,2,0,0,0,0.5,1,4,1.0,1.0,0.0,0.0,344.03481313214985,-344.03481313214985,1.9,5.6,-3.6999999999999997
22200020,2022-10-21,2022-23,ATL,ORL,4.200000000000003,1.7000000000000028,2.4,1.9000000000000057,0.085,0.013,0.006,0.0339999999999999,1.1999999999999955,1.8000000000000007,-2.1999999999999997,1.0,0.0,1.0,10.0,-4.0,14.0,2,2,0,0,0,0.5,1,10,1.0,1.0,0.0,0.0,597.5306053905276,-597.5306053905276,-8.1,-7.9,-0.1999999999999993
22200036,2022-10-22,2022-23,SAC,LAC,4.599999999999994,2.4000000000000057,2.1,2.1499999999999915,0.0479999999999999,0.017,-0.012,0.009,-0.7000000000000028,3.400000000000002,-0.6999999999999993,0.0,1.0,-1.0,-7.0,6.0,-13.0,3,2,1,0,0,0.5,0,-2,1.0,1.0,0.0,0.0,361.4136081032947,-361.4136081032947,-4.0,0.7,-4.7
22200031,2022-10-22,2022-23,MIA,TOR,-2.299999999999997,-0.2999999999999971,-2.0,-1.0899999999999892,0.037,0.001,0.0089999999999999,0.0469999999999999,-2.3999999999999986,-0.0999999999999978,1.8000000000000007,0.0,0.5,-0.5,-7.5,-0.5,-7.0,1,1,0,1,1,0.5,1,3,1.0,1.0,0.0,0.0,1089.5946464510805,-1089.5946464510805,4.0,3.3499999999999996,0.6500000000000004
