GAME_ID,GAME_DATE,SEASON,HOME_TEAM,AWAY_TEAM,DIFF_OFF_RATING,DIFF_DEF_RATING,DIFF_NET_RATING,DIFF_PACE,DIFF_W_PCT,DIFF_FG_PCT,DIFF_FG3_PCT,DIFF_FT_PCT,DIFF_REB,DIFF_AST,DIFF_TOV,HOME_ROLL10_WIN_PCT,AWAY_ROLL10_WIN_PCT,DIFF_ROLL10_WIN_PCT,HOME_ROLL10_PM,AWAY_ROLL10_PM,DIFF_ROLL10_PM,HOME_REST,AWAY_REST,DIFF_REST,HOME_B2B,AWAY_B2B,H2H_HOME_WIN_PCT,HOME_TEAM_WIN,POINT_MARGIN
22200002,2022-10-18,2022-23,GSW,LAL,1.1999999999999886,0.20000000000000284,1.0,0.6200000000000045,0.013000000000000012,-0.0030000000000000027,0.039000000000000035,0.019000000000000017,-1.1000000000000014,4.5,2.200000000000001,0.5,0.5,0.0,0.0,0.0,0.0,7,7,0,0,0,0.5,1,14
22200001,2022-10-18,2022-23,BOS,PHI,0.29999999999999716,-2.1000000000000085,2.3,1.710000000000008,0.03599999999999992,-0.01200000000000001,-0.010000000000000009,-0.02299999999999991,4.399999999999999,1.5,-0.29999999999999893,0.5,0.5,0.0,0.0,0.0,0.0,7,7,0,0,0,0.5,1,9
22200005,2022-10-19,2022-23,ATL,HOU,5.0,-3.1999999999999886,8.2,1.8200000000000074,0.23199999999999998,0.025999999999999968,0.024999999999999967,0.06399999999999995,-1.8999999999999986,2.6000000000000014,-3.299999999999999,0.5,0.5,0.0,0.0,0.0,0.0,7,7,0,0,0,0.5,1,10
22200013,2022-10-19,2022-23,PHX,DAL,-1.4000000000000057,-3.799999999999997,2.4000000000000004,1.6200000000000045,0.08600000000000002,-0.007999999999999952,0.0030000000000000027,0.038000000000000034,5.400000000000006,4.400000000000002,1.3000000000000007,0.5,0.5,0.0,0.0,0.0,0.0,7,7,0,0,0,0.5,1,2
22200006,2022-10-19,2022-23,BKN,NOP,0.7999999999999972,1.5,-0.7999999999999998,-0.8100000000000023,0.03700000000000003,0.007000000000000006,0.014000000000000012,0.007000000000000006,-3.200000000000003,-0.3999999999999986,-0.9000000000000004,0.5,0.5,0.0,0.0,0.0,0.0,7,7,0,0,0,0.5,0,-22
22200004,2022-10-19,2022-23,IND,WAS,0.09999999999999432,2.1999999999999886,-2.0999999999999996,2.5200000000000102,0.0,-0.016000000000000014,0.01100000000000001,0.0050000000000000044,-2.1000000000000014,1.6000000000000014,0.8000000000000007,0.5,0.5,0.0,0.0,0.0,0.0,7,7,0,0,0,0.5,0,-7
22200010,2022-10-19,2022-23,MIN,OKC,-0.9000000000000057,-0.10000000000000853,-0.8,-0.39000000000000057,0.02400000000000002,0.024999999999999967,0.009000000000000008,-0.05400000000000005,-1.8000000000000043,1.8000000000000007,2.3000000000000007,0.5,0.5,0.0,0.0,0.0,0.0,7,7,0,0,0,0.5,1,7
22200009,2022-10-19,2022-23,MEM,NYK,-2.299999999999997,-3.5,1.2000000000000002,3.75,0.049000000000000044,0.0050000000000000044,-0.0030000000000000027,-0.028000000000000025,0.0,3.1000000000000014,0.5999999999999996,0.5,0.5,0.0,0.0,0.0,0.0,7,7,0,0,0,0.5,1,3
22200011,2022-10-19,2022-23,SAS,CHA,1.2999999999999972,4.8999999999999915,-3.6000000000000005,0.5999999999999943,-0.061,0.008000000000000007,0.014999999999999958,-0.006000000000000005,-0.7999999999999972,2.099999999999998,1.1000000000000014,0.5,0.5,0.0,0.0,0.0,0.0,7,7,0,0,0,0.5,0,-27
22200012,2022-10-19,2022-23,UTA,DEN,-1.5,2.5,-4.0,2.280000000000001,-0.195,-0.031000000000000028,-0.026000000000000023,0.03500000000000003,2.8999999999999986,-2.8999999999999986,0.9000000000000004,0.5,0.5,0.0,0.0,0.0,0.0,7,7,0,0,0,0.5,1,21
22200014,2022-10-19,2022-23,SAC,POR,4.599999999999994,-2.0,6.6,1.7399999999999949,0.18299999999999994,0.020000000000000018,0.0040000000000000036,-0.006000000000000005,2.0,3.1000000000000014,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,7,7,0,0,0,0.5,0,-7
22200007,2022-10-19,2022-23,MIA,CHI,-0.5,1.2999999999999972,-1.8,-2.4200000000000017,0.049000000000000044,-0.02999999999999997,-0.017000000000000015,0.02199999999999991,-1.7999999999999972,-0.6999999999999993,0.09999999999999964,0.5,0.5,0.0,0.0,0.0,0.0,7,7,0,0,0,0.5,0,-8
22200003,2022-10-19,2022-23,DET,ORL,-1.3999999999999915,4.099999999999994,-5.6000000000000005,0.21999999999999886,-0.208,-0.01599999999999996,0.0050000000000000044,-0.013000000000000012,-0.8000000000000043,-0.1999999999999993,0.0,0.5,0.5,0.0,0.0,0.0,0.0,7,7,0,0,0,0.5,1,4
22200008,2022-10-19,2022-23,TOR,CLE,-0.9000000000000057,3.1999999999999886,-4.1,1.5799999999999983,-0.122,-0.02899999999999997,-0.03199999999999997,0.0040000000000000036,1.8999999999999986,-1.0,-1.6000000000000014,0.5,0.5,0.0,0.0,0.0,0.0,7,7,0,0,0,0.5,1,3
22200015,2022-10-20,2022-23,PHI,MIL,2.700000000000003,1.7999999999999972,1.0000000000000004,-4.010000000000005,-0.04799999999999993,0.014000000000000012,0.019000000000000017,0.09199999999999997,-7.700000000000003,-0.6000000000000014,-0.9000000000000004,0.0,0.5,-0.5,-9.0,0.0,-9.0,2,7,-5,0,0,0.5,0,-2
22200016,2022-10-20,2022-23,LAL,LAC,-0.09999999999999432,-0.3999999999999915,0.19999999999999996,3.0799999999999983,-0.013000000000000012,0.0050000000000000044,-0.03500000000000003,-0.006000000000000005,2.5,1.4000000000000021,-0.09999999999999964,0.0,0.5,-0.5,-14.0,0.0,-14.0,2,7,-5,0,0,0.5,0,-6
22200022,2022-10-21,2022-23,MIA,BOS,-5.0,2.200000000000003,-7.2,-2.3900000000000006,-0.15799999999999992,-0.014999999999999958,-0.03300000000000003,0.018999999999999906,-4.699999999999996,-2.8999999999999986,0.09999999999999964,0.0,1.0,-1.0,-8.0,9.0,-17.0,2,3,-1,0,0,0.5,0,-7
22200019,2022-10-21,2022-23,WAS,CHI,0.9000000000000057,3.4000000000000057,-2.5,-0.020000000000010232,-0.061,-0.0050000000000000044,-0.0050000000000000044,-0.02400000000000002,1.2000000000000028,0.8999999999999986,0.6999999999999993,1.0,1.0,0.0,7.0,8.0,-1.0,2,2,0,0,0,0.5,1,2
22200027,2022-10-21,2022-23,POR,PHX,-0.5,5.700000000000003,-6.2,0.4200000000000017,-0.14700000000000002,0.006999999999999951,-0.009000000000000008,0.0030000000000000027,-3.700000000000003,-3.1000000000000014,1.0,1.0,1.0,0.0,7.0,2.0,5.0,2,2,0,0,0,0.5,1,2
22200018,2022-10-21,2022-23,IND,SAS,4.099999999999994,-2.5,6.6000000000000005,-0.38999999999998636,0.15899999999999997,0.003999999999999948,0.02200000000000002,0.04700000000000004,-2.200000000000003,-0.1999999999999993,-0.40000000000000036,0.0,0.0,0.0,-7.0,-27.0,20.0,2,2,0,0,0,0.5,0,-3
22200023,2022-10-21,2022-23,NYK,DET,7.099999999999994,-3.5999999999999943,10.7,-2.1299999999999955,0.366,0.01599999999999996,0.0030000000000000027,-0.010000000000000009,4.200000000000003,-0.10000000000000142,-2.0999999999999996,0.0,1.0,-1.0,-3.0,4.0,-7.0,2,2,0,0,0,0.5,1,24
22200017,2022-10-21,2022-23,CHA,NOP,-5.3999999999999915,2.700000000000003,-8.2,1.8900000000000006,-0.183,-0.022999999999999965,-0.033999999999999975,-0.04400000000000004,0.7999999999999972,-0.7999999999999972,-0.40000000000000036,1.0,1.0,0.0,27.0,22.0,5.0,2,2,0,0,0,0.5,0,-12
22200024,2022-10-21,2022-23,HOU,MEM,-4.200000000000003,7.8999999999999915,-12.1,-1.7600000000000051,-0.354,-0.01799999999999996,-0.023999999999999966,0.02100000000000002,-0.30000000000000426,-3.6000000000000014,2.5999999999999996,0.0,1.0,-1.0,-10.0,3.0,-13.0,2,2,0,0,0,0.5,0,-7
22200025,2022-10-21,2022-23,MIN,UTA,-2.0,-2.9000000000000057,0.8999999999999999,0.5300000000000011,0.061,0.017000000000000015,0.01200000000000001,-0.031000000000000028,-4.0,0.1999999999999993,-0.09999999999999964,1.0,1.0,0.0,7.0,21.0,-14.0,2,2,0,0,0,0.5,0,-6
22200026,2022-10-21,2022-23,GSW,DEN,-1.7000000000000028,-0.09999999999999432,-1.5999999999999999,3.8000000000000114,-0.10899999999999999,-0.025000000000000022,0.006000000000000005,0.04300000000000004,1.6000000000000014,0.9000000000000021,1.8000000000000007,1.0,0.0,1.0,14.0,-21.0,35.0,3,2,1,0,0,0.5,0,-5
22200021,2022-10-21,2022-23,BKN,TOR,0.0,0.4000000000000057,-0.3999999999999999,0.9200000000000017,0.049000000000000044,0.02799999999999997,0.04299999999999998,0.016000000000000014,-2.5,1.6000000000000014,2.0,0.0,1.0,-1.0,-22.0,3.0,-25.0,2,2,0,0,0,0.5,1,4
22200020,2022-10-21,2022-23,ATL,ORL,4.200000000000003,1.7000000000000028,2.4,1.9000000000000057,0.08500000000000002,0.013000000000000012,0.006000000000000005,0.03399999999999992,1.1999999999999957,1.8000000000000007,-2.1999999999999993,1.0,0.0,1.0,10.0,-4.0,14.0,2,2,0,0,0,0.5,1,10
22200036,2022-10-22,2022-23,SAC,LAC,4.599999999999994,2.4000000000000057,2.1,2.1499999999999915,0.04799999999999993,0.017000000000000015,-0.01200000000000001,0.009000000000000008,-0.7000000000000028,3.400000000000002,-0.6999999999999993,0.0,1.0,-1.0,-7.0,6.0,-13.0,3,2,1,0,0,0.5,0,-2
22200031,2022-10-22,2022-23,MIA,TOR,-2.299999999999997,-0.29999999999999716,-2.0,-1.0899999999999892,0.03700000000000003,0.0010000000000000009,0.008999999999999952,0.04699999999999993,-2.3999999999999986,-0.09999999999999787,1.8000000000000007,0.0,0.5,-0.5,-7.5,-0.5,-7.0,1,1,0,1,1,0.5,1,3
22200032,2022-10-22,2022-23,CHI,CLE,-2.700000000000003,1.5999999999999943,-4.3,2.910000000000011,-0.134,0.0020000000000000018,-0.006000000000000005,0.029000000000000026,1.2999999999999972,-0.3999999999999986,0.09999999999999964,0.5,0.0,0.5,3.0,-3.0,6.0,1,3,-2,1,0,0.5,0,-32
22200030,2022-10-22,2022-23,ORL,BOS,-6.0,3.1000000000000085,-9.0,0.5099999999999909,-0.27999999999999997,-0.0050000000000000044,-0.031000000000000028,-0.028000000000000025,-2.0999999999999943,-3.5,1.6999999999999993,0.0,1.0,-1.0,-7.0,8.0,-15.0,1,1,0,1,1,0.5,0,-6
22200028,2022-10-22,2022-23,PHI,SAS,7.299999999999997,-6.8999999999999915,14.3,-4.6299999999999955,0.391,0.021999999999999964,0.04200000000000004,0.09199999999999997,-2.8000000000000043,-2.0,-1.6000000000000014,0.0,0.5,-0.5,-5.5,-12.0,6.5,2,1,1,0,1,0.5,0,-9
22200033,2022-10-22,2022-23,MIL,HOU,3.799999999999997,-7.699999999999989,11.5,1.710000000000008,0.43899999999999995,0.01599999999999996,0.04099999999999998,-0.01100000000000001,2.3000000000000043,3.400000000000002,-1.5999999999999996,1.0,0.0,1.0,2.0,-8.5,10.5,2,1,1,0,1,0.5,1,20
22200034,2022-10-22,2022-23,DAL,MEM,1.2000000000000028,5.3999999999999915,-4.2,-4.290000000000006,-0.15899999999999997,0.0,0.020000000000000018,0.02200000000000002,-7.800000000000004,-3.1000000000000014,-1.4000000000000004,0.0,1.0,-1.0,-2.0,5.0,-7.0,3,1,2,0,1,0.5,1,41
22200035,2022-10-22,2022-23,DEN,OKC,2.5999999999999943,0.29999999999999716,2.3,-3.200000000000003,0.15800000000000003,0.03899999999999998,0.02300000000000002,-0.05800000000000005,-0.7000000000000028,4.5,1.5,0.5,0.0,0.5,-8.0,-7.0,-1.0,1,3,-2,1,0,0.5,1,5
22200029,2022-10-22,2022-23,IND,DET,3.8999999999999915,-0.7000000000000028,4.6000000000000005,1.8000000000000114,0.22,0.014999999999999958,0.016000000000000014,0.019000000000000017,-0.8999999999999986,4.0,-0.1999999999999993,0.0,0.5,-0.5,-5.0,-10.0,5.0,1,1,0,1,1,0.5,1,9
22200037,2022-10-23,2022-23,LAL,POR,-0.09999999999999432,-4.799999999999997,4.7,2.6700000000000017,0.122,0.008000000000000007,-0.019000000000000017,-0.02100000000000002,5.200000000000003,1.1000000000000014,-0.40000000000000036,0.0,1.0,-1.0,-10.0,4.5,-14.5,3,2,1,0,0,0.5,0,-2
22200040,2022-10-23,2022-23,NOP,UTA,-1.5,-4.0,2.5999999999999996,-1.4399999999999977,0.061,0.007000000000000006,0.01100000000000001,0.007000000000000006,-2.1999999999999957,-0.10000000000000142,-0.8000000000000007,1.0,1.0,0.0,17.0,13.5,3.5,2,2,0,0,0,0.5,0,-1
22200039,2022-10-23,2022-23,CLE,WAS,1.7999999999999972,-5.0,6.8,-2.8900000000000006,0.195,0.0030000000000000027,0.01100000000000001,-0.0050000000000000044,-2.5,-0.5,-0.7999999999999989,0.5,1.0,-0.5,14.5,4.5,10.0,1,2,-1,1,0,0.5,1,10
22200042,2022-10-23,2022-23,GSW,SAC,-3.5,-2.5999999999999943,-0.9000000000000001,1.5500000000000114,-0.04799999999999993,-0.015000000000000013,0.016000000000000014,0.0040000000000000036,2.1000000000000014,2.5,2.8000000000000007,0.5,0.0,0.5,4.5,-4.5,9.0,2,1,1,0,1,0.5,1,5
22200038,2022-10-23,2022-23,ATL,CHA,7.099999999999994,0.7000000000000028,6.3999999999999995,0.09000000000000341,0.17099999999999999,0.025999999999999968,0.021999999999999964,0.06899999999999995,-0.10000000000000142,-0.10000000000000142,-1.299999999999999,1.0,0.5,0.5,10.0,7.5,2.5,2,2,0,0,0,0.5,0,-17
22200041,2022-10-23,2022-23,OKC,MIN,0.9000000000000057,0.10000000000000853,0.8,0.39000000000000057,-0.02400000000000002,-0.024999999999999967,-0.009000000000000008,0.05400000000000005,1.8000000000000043,-1.8000000000000007,-2.3000000000000007,0.0,0.5,-0.5,-6.0,0.5,-6.5,1,2,-1,1,0,0.0,0,-10
22200043,2022-10-23,2022-23,LAC,PHX,-0.5,1.2999999999999972,-1.7000000000000002,0.010000000000005116,-0.01200000000000001,0.009999999999999953,0.007000000000000006,-0.01200000000000001,-1.0,-3.400000000000002,0.6999999999999993,1.0,0.5,0.5,4.0,0.0,4.0,1,2,-1,1,0,0.5,0,-17
22200046,2022-10-24,2022-23,NYK,ORL,5.700000000000003,0.5,5.1,-1.9099999999999966,0.15799999999999997,0.0,0.008000000000000007,-0.02300000000000002,3.3999999999999986,-0.3000000000000007,-2.0999999999999996,0.5,0.0,0.5,10.5,-6.666666666666667,17.166666666666668,3,2,1,0,0,0.5,1,13
22200051,2022-10-24,2022-23,POR,DEN,-2.799999999999997,4.5,-7.3,0.5100000000000051,-0.244,-0.030000000000000027,-0.014000000000000012,0.04500000000000004,-2.5,-4.699999999999999,0.0,1.0,0.6666666666666666,0.33333333333333337,3.6666666666666665,-3.6666666666666665,7.333333333333333,1,2,-1,1,0,0.5,1,25
22200049,2022-10-24,2022-23,MEM,BKN,0.10000000000000853,-2.799999999999997,2.9,2.730000000000004,0.07299999999999995,-0.01200000000000001,-0.027000000000000024,-0.06700000000000006,6.100000000000001,0.5,-0.09999999999999964,0.6666666666666666,0.5,0.16666666666666663,-10.333333333333334,-9.0,-1.333333333333334,2,3,-1,0,0,0.5,1,10
22200048,2022-10-24,2022-23,HOU,UTA,-4.799999999999997,2.5999999999999943,-7.3999999999999995,-1.2800000000000011,-0.183,-0.01599999999999996,-0.025999999999999968,-0.03200000000000003,0.3999999999999986,-3.6000000000000014,0.7999999999999989,0.0,1.0,-1.0,-12.333333333333334,9.333333333333334,-21.666666666666668,2,1,1,0,1,0.5,1,6
22200045,2022-10-24,2022-23,MIA,TOR,-2.299999999999997,-0.29999999999999716,-2.0,-1.0899999999999892,0.03700000000000003,0.0010000000000000009,0.008999999999999952,0.04699999999999993,-2.3999999999999986,-0.09999999999999787,1.8000000000000007,0.3333333333333333,0.3333333333333333,0.0,-4.0,-1.3333333333333333,-2.666666666666667,2,2,0,0,0,1.0,0,-8
22200050,2022-10-24,2022-23,MIN,SAS,3.5999999999999943,-6.5,10.1,-0.519999999999996,0.244,0.024999999999999967,0.020000000000000018,0.01200000000000001,-1.8000000000000043,-1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,3.6666666666666665,-5.0,8.666666666666666,1,2,-1,1,0,0.5,0,-9
22200047,2022-10-24,2022-23,CHI,BOS,-4.5,0.9000000000000057,-5.4,0.030000000000001137,-0.20699999999999996,0.015000000000000013,-0.016000000000000014,-0.0030000000000000027,-2.8999999999999986,-2.1999999999999993,0.0,0.3333333333333333,1.0,-0.6666666666666667,-8.666666666666666,7.333333333333333,-16.0,2,2,0,0,0,0.5,1,18
22200044,2022-10-24,2022-23,PHI,IND,3.200000000000003,-4.3999999999999915,7.7,-4.240000000000009,0.23200000000000004,0.018000000000000016,0.020000000000000018,0.04499999999999993,-0.6000000000000014,-1.8000000000000007,-1.200000000000001,0.0,0.3333333333333333,-0.3333333333333333,-6.666666666666667,-0.3333333333333333,-6.333333333333334,2,2,0,0,0,0.5,1,14
22200052,2022-10-25,2022-23,WAS,DET,3.799999999999997,-2.8999999999999915,6.7,-0.7199999999999989,0.22,0.030999999999999972,0.0050000000000000044,0.014000000000000012,1.2000000000000028,2.3999999999999986,-1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-9.666666666666666,9.333333333333332,2,3,-1,0,0,0.5,1,21
22200054,2022-10-25,2022-23,OKC,LAC,0.20000000000000284,-0.3999999999999915,0.5,3.0999999999999943,-0.049000000000000044,-0.011999999999999955,-0.025000000000000022,0.028000000000000025,0.5,0.5,-1.1999999999999993,0.0,0.6666666666666666,-0.6666666666666666,-7.333333333333333,-3.0,-4.333333333333333,2,2,0,0,0,0.5,1,14
22200055,2022-10-25,2022-23,PHX,GSW,-0.5999999999999943,-1.1000000000000085,0.5000000000000002,-3.710000000000008,0.01200000000000001,-0.011999999999999955,-0.01100000000000001,-0.0010000000000000009,-0.3999999999999986,-2.5,-2.8000000000000007,0.6666666666666666,0.6666666666666666,0.0,5.666666666666667,4.666666666666667,1.0,2,2,0,0,0,0.5,1,29
22200053,2022-10-25,2022-23,NOP,DAL,-2.1000000000000085,-4.099999999999994,2.1,2.3700000000000045,0.04899999999999999,0.0050000000000000044,-0.007000000000000006,0.038000000000000034,4.900000000000006,3.0,2.4000000000000004,0.6666666666666666,0.5,0.16666666666666663,11.0,19.5,-8.5,2,3,-1,0,0,0.5,1,2
22200057,2022-10-26,2022-23,DET,ATL,-5.599999999999994,2.3999999999999915,-8.0,-1.6800000000000068,-0.29300000000000004,-0.02899999999999997,-0.0010000000000000009,-0.04699999999999993,-2.0,-2.0,2.1999999999999993,0.25,0.6666666666666666,-0.41666666666666663,-12.5,1.0,-13.5,1,3,-2,1,0,0.5,0,-5
