TEAM_ID,SEASON,W_PCT,PTS,REB,AST,TOV,FG_PCT,FG3_PCT,FT_PCT,STL,BLK,OREB,DREB,PF,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,AST_PCT,REB_PCT,TM_TOV_PCT
1610612762,2015-16,0.488,97.7,43.2,19.0,14.9,0.449,0.355,0.744,7.7,5.2,10.7,32.5,20.2,105.0,103.2,1.8,91.66,0.54,0.526,0.517,0.161
1610612764,2015-16,0.5,104.1,41.8,24.5,14.5,0.46,0.358,0.73,8.6,3.9,9.1,32.8,20.8,104.5,105.1,-0.5,99.16,0.544,0.619,0.49,0.145
1610612737,2016-17,0.524,103.2,44.3,23.6,15.8,0.451,0.341,0.728,8.2,4.8,10.3,34.1,18.2,104.5,105.2,-0.7,97.76,0.541,0.621,0.502,0.16
1610612738,2016-17,0.646,108.0,42.0,25.2,13.3,0.454,0.359,0.807,7.5,4.1,9.1,32.9,20.6,110.6,108.0,2.6,97.21,0.567,0.653,0.485,0.136
1610612751,2016-17,0.244,105.8,43.9,21.4,16.5,0.444,0.338,0.788,7.2,4.7,8.8,35.1,21.0,103.6,110.1,-6.5,101.75,0.551,0.566,0.483,0.162
1610612766,2016-17,0.439,104.9,43.6,23.1,11.5,0.442,0.351,0.815,7.0,4.8,8.8,34.8,16.6,108.4,108.4,0.0,95.92,0.547,0.611,0.496,0.119
1610612741,2016-17,0.5,102.9,46.3,22.6,13.6,0.444,0.34,0.798,7.8,4.8,12.2,34.1,17.7,106.5,106.2,0.3,96.02,0.53,0.584,0.519,0.14
1610612739,2016-17,0.622,110.3,43.7,22.7,13.7,0.47,0.384,0.748,6.6,4.0,9.3,34.4,18.1,112.8,109.7,3.1,96.74,0.58,0.567,0.499,0.14
1610612742,2016-17,0.402,97.9,38.6,20.8,11.9,0.44,0.355,0.801,7.5,3.7,7.9,30.7,19.1,104.7,107.7,-3.0,93.11,0.541,0.574,0.465,0.127
1610612743,2016-17,0.488,111.7,46.4,25.3,15.0,0.469,0.368,0.774,6.9,3.9,11.8,34.6,19.1,112.2,111.7,0.4,99.18,0.568,0.615,0.532,0.15
1610612765,2016-17,0.451,101.3,45.7,21.1,11.9,0.449,0.33,0.719,7.0,3.8,11.1,34.6,17.9,105.3,106.7,-1.4,95.52,0.521,0.53,0.519,0.123
1610612744,2016-17,0.817,115.9,44.4,30.4,14.8,0.495,0.383,0.788,9.6,6.8,9.4,35.0,19.3,114.8,103.4,11.4,100.37,0.597,0.705,0.504,0.146
1610612745,2016-17,0.671,115.3,44.4,25.2,15.1,0.462,0.357,0.766,8.2,4.3,10.9,33.5,19.9,114.1,108.4,5.7,100.55,0.583,0.626,0.499,0.15
1610612754,2016-17,0.512,105.1,42.0,22.5,13.8,0.465,0.376,0.81,8.2,5.0,9.0,33.0,19.5,107.9,108.1,-0.2,96.59,0.558,0.572,0.488,0.141
1610612746,2016-17,0.622,108.7,43.0,22.5,13.0,0.475,0.375,0.745,7.5,4.2,9.0,34.0,19.8,111.8,107.5,4.4,96.77,0.574,0.57,0.501,0.133
1610612747,2016-17,0.317,104.6,43.5,20.9,15.2,0.45,0.346,0.754,8.2,3.9,11.4,32.1,20.7,105.3,112.0,-6.7,99.26,0.537,0.532,0.494,0.153
1610612763,2016-17,0.524,100.5,42.8,21.3,12.9,0.435,0.354,0.784,8.0,4.2,10.8,32.0,22.4,107.0,106.5,0.5,92.84,0.535,0.584,0.507,0.137
1610612748,2016-17,0.5,103.2,43.6,21.2,13.4,0.455,0.365,0.706,7.2,5.7,10.6,33.0,20.5,107.4,106.4,1.0,95.51,0.541,0.544,0.499,0.14
1610612749,2016-17,0.512,103.6,40.4,24.2,14.0,0.474,0.37,0.768,8.1,5.3,8.8,31.6,20.2,108.5,108.7,-0.2,94.99,0.565,0.624,0.487,0.146
1610612750,2016-17,0.378,105.6,42.4,23.7,14.0,0.467,0.349,0.799,8.0,4.5,11.4,31.0,20.1,110.0,110.9,-0.9,95.48,0.555,0.6,0.507,0.146
1610612740,2016-17,0.415,104.3,43.7,22.8,12.9,0.45,0.35,0.75,7.8,5.5,8.6,35.1,18.2,104.7,106.8,-2.1,98.56,0.539,0.582,0.48,0.129
1610612752,2016-17,0.378,104.3,45.2,21.8,13.9,0.447,0.348,0.788,7.1,5.5,12.0,33.2,20.3,107.1,110.7,-3.6,96.63,0.534,0.551,0.5,0.143
1610612760,2016-17,0.573,106.6,46.6,21.0,15.0,0.452,0.327,0.745,7.9,5.0,12.2,34.4,20.9,107.9,107.1,0.8,98.18,0.54,0.532,0.528,0.152
1610612753,2016-17,0.354,101.1,43.2,22.2,13.3,0.44,0.328,0.747,7.1,4.8,9.8,33.3,19.3,103.7,110.3,-6.5,96.9,0.524,0.58,0.491,0.137
1610612755,2016-17,0.341,102.4,42.8,23.8,16.7,0.442,0.34,0.771,8.4,5.1,9.8,33.0,21.9,102.7,108.2,-5.5,99.07,0.539,0.631,0.49,0.167
1610612756,2016-17,0.293,107.7,45.0,19.6,15.4,0.45,0.332,0.776,8.2,4.9,11.9,33.1,24.8,106.1,111.3,-5.2,100.85,0.538,0.491,0.503,0.152
1610612757,2016-17,0.5,107.9,43.7,21.1,13.7,0.459,0.375,0.78,7.0,5.0,10.1,33.5,21.2,109.4,110.0,-0.6,97.38,0.559,0.534,0.496,0.139
1610612758,2016-17,0.39,102.8,41.1,22.5,14.6,0.461,0.376,0.775,7.6,4.0,8.7,32.3,20.3,106.6,110.8,-4.2,95.42,0.556,0.594,0.492,0.152
1610612759,2016-17,0.744,105.3,43.9,23.8,13.4,0.469,0.391,0.797,8.0,5.9,10.0,33.9,18.3,110.3,102.9,7.4,94.86,0.564,0.606,0.511,0.141
