TEAM_ID,SEASON,HOME_COURT_STRENGTH
1610612737,2015-16,0.14634146341463417
1610612737,2016-17,0.07317073170731714
1610612737,2017-18,0.1951219512195122
1610612737,2018-19,0.12195121951219512
1610612737,2019-20,0.2299465240641711
1610612737,2020-21,0.25
1610612737,2021-22,0.2682926829268293
1610612737,2022-23,0.17073170731707316
1610612737,2023-24,0.14634146341463417
1610612737,2024-25,0.07261904761904764
1610612738,2015-16,0.19512195121951226
1610612738,2016-17,0.1707317073170731
1610612738,2017-18,-0.024390243902439046
1610612738,2018-19,0.1707317073170732
1610612738,2019-20,0.11111111111111105
1610612738,2020-21,0.16666666666666669
1610612738,2021-22,0.12195121951219512
1610612738,2022-23,0.1707317073170732
1610612738,2023-24,0.24390243902439024
1610612738,2024-25,-0.12195121951219512
1610612739,2015-16,0.2195121951219513
1610612739,2016-17,0.2682926829268293
1610612739,2017-18,0.19512195121951215
1610612739,2018-19,0.17073170731707318
1610612739,2019-20,0.029693486590038343
1610612739,2020-21,0.1111111111111111
1610612739,2021-22,0.1463414634146341
1610612739,2022-23,0.2682926829268293
1610612739,2023-24,0.09756097560975607
1610612739,2024-25,0.09756097560975607
1610612740,2015-16,0.29268292682926833
1610612740,2016-17,0.1951219512195122
1610612740,2017-18,0.0
1610612740,2018-19,0.12195121951219512
1610612740,2019-20,0.0
1610612740,2020-21,0.1388888888888889
1610612740,2021-22,0.04878048780487809
1610612740,2022-23,0.29268292682926833
1610612740,2023-24,-0.1416666666666666
1610612740,2024-25,0.17073170731707318
1610612741,2015-16,0.24390243902439024
1610612741,2016-17,0.2195121951219512
1610612741,2017-18,0.17073170731707316
1610612741,2018-19,-0.0975609756097561
1610612741,2019-20,0.15370018975332067
1610612741,2020-21,-0.027777777777777735
1610612741,2021-22,0.1951219512195122
1610612741,2022-23,0.09756097560975613
1610612741,2023-24,0.02439024390243899
1610612741,2024-25,-0.07317073170731708
1610612742,2015-16,0.09756097560975613
1610612742,2016-17,0.21951219512195125
1610612742,2017-18,0.14634146341463414
1610612742,2018-19,0.36585365853658536
1610612742,2019-20,-0.09530583214793742
1610612742,2020-21,0.0
1610612742,2021-22,0.14634146341463405
1610612742,2022-23,0.19512195121951226
1610612742,2023-24,0.0
1610612742,2024-25,0.14523809523809528
1610612743,2015-16,0.07317073170731708
1610612743,2016-17,0.09756097560975613
1610612743,2017-18,0.3902439024390244
1610612743,2018-19,0.3414634146341463
1610612743,2019-20,0.14714714714714716
1610612743,2020-21,0.08333333333333326
1610612743,2021-22,-0.04878048780487798
1610612743,2022-23,0.3658536585365853
1610612743,2023-24,0.2195121951219513
1610612743,2024-25,0.04878048780487809
1610612744,2015-16,0.12195121951219512
1610612744,2016-17,0.12195121951219512
1610612744,2017-18,0.0
1610612744,2018-19,0.07317073170731703
1610612744,2019-20,0.0094876660341556
1610612744,2020-21,0.3055555555555555
1610612744,2021-22,0.2195121951219512
1610612744,2022-23,0.5365853658536586
1610612744,2023-24,-0.09756097560975607
1610612744,2024-25,0.0
1610612745,2015-16,0.12195121951219517
1610612745,2016-17,0.12195121951219512
1610612745,2017-18,0.07317073170731703
1610612745,2018-19,0.2195121951219512
1610612745,2019-20,0.11111111111111105
1610612745,2020-21,0.02777777777777779
1610612745,2021-22,0.048780487804878064
1610612745,2022-23,0.14634146341463417
